PROJECTNAME,COMPANY ADDR1,COMPANY ADDR2,COMAPNY ADDR3,COMPANY CITY,COMPANY STATE,COMPANY ZIP,company_zip4,COMPANY PHN,project_bar_code,nm_addr_txt_1,nm_addr_txt_2,nm_addr_txt_3,nm_addr_txt_4,nm_addr_txt_5,us_city_nm,us_st_cd,us_zip_cd_5,clm_no,mail_dt,Transactions,sec_shrt_nm,sec_tran_dtm,sec_tran_qty,sec_tran_prc_amt,sec_tran_ttl_amt
Hewlett-Packard Securities Litigation,"c/o Garden City Group, LLC",Claims Administrator,P.O. Box 10056,Dublin,OH,43017,6656,1-877-782-8059,HPD0104183336,BATTEA FBO,SCHONFELD GROUP HOLDINGS LLC,400 MONTGOMERY STREET,SUITE 1040,,SAN FRANCISCO,CA,94104,10219580,8/9/2008,Purchase,HEWLETT-PACKARD COMPANY,8/5/2011,100,32.88,3288
Hewlett-Packard Securities Litigation,"c/o Garden City Group, LLC",Claims Administrator,P.O. Box 10056,Dublin,OH,43017,6656,1-877-782-8059,HPD0104183336,BATTEA FBO,SCHONFELD GROUP HOLDINGS LLC,400 MONTGOMERY STREET,SUITE 1040,,SAN FRANCISCO,CA,94104,10219580,8/9/2008,Purchase,HEWLETT-PACKARD COMPANY,8/5/2011,100,32.87,3287
Hewlett-Packard Securities Litigation,"c/o Garden City Group, LLC",Claims Administrator,P.O. Box 10056,Dublin,OH,43017,6656,1-877-782-8059,HPD0104183336,BATTEA FBO,SCHONFELD GROUP HOLDINGS LLC,400 MONTGOMERY STREET,SUITE 1040,,SAN FRANCISCO,CA,94104,10219580,8/9/2008,Purchase,HEWLETT-PACKARD COMPANY,8/5/2011,100,32.81,3281
Hewlett-Packard Securities Litigation,"c/o Garden City Group, LLC",Claims Administrator,P.O. Box 10056,Dublin,OH,43017,6656,1-877-782-8059,HPD0104183336,BATTEA FBO,SCHONFELD GROUP HOLDINGS LLC,400 MONTGOMERY STREET,SUITE 1040,,SAN FRANCISCO,CA,94104,10219580,8/9/2008,Purchase,HEWLETT-PACKARD COMPANY,8/5/2011,100,32.81,3281
Hewlett-Packard Securities Litigation,"c/o Garden City Group, LLC",Claims Administrator,P.O. Box 10056,Dublin,OH,43017,6656,1-877-782-8059,HPD0104183336,BATTEA FBO,SCHONFELD GROUP HOLDINGS LLC,400 MONTGOMERY STREET,SUITE 1040,,SAN FRANCISCO,CA,94104,10219580,8/9/2008,Purchase,HEWLETT-PACKARD COMPANY,8/5/2011,100,32.81,3281
Hewlett-Packard Securities Litigation,"c/o Garden City Group, LLC",Claims Administrator,P.O. Box 10056,Dublin,OH,43017,6656,1-877-782-8059,HPD0104183336,BATTEA FBO,SCHONFELD GROUP HOLDINGS LLC,400 MONTGOMERY STREET,SUITE 1040,,SAN FRANCISCO,CA,94104,10219580,8/9/2008,Purchase,HEWLETT-PACKARD COMPANY,8/5/2011,100,32.8,3280
Hewlett-Packard Securities Litigation,"c/o Garden City Group, LLC",Claims Administrator,P.O. Box 10056,Dublin,OH,43017,6656,1-877-782-8059,HPD0104183336,BATTEA FBO,SCHONFELD GROUP HOLDINGS LLC,400 MONTGOMERY STREET,SUITE 1040,,SAN FRANCISCO,CA,94104,10219580,8/9/2008,Purchase,HEWLETT-PACKARD COMPANY,8/5/2011,100,32.78,3278
Hewlett-Packard Securities Litigation,"c/o Garden City Group, LLC",Claims Administrator,P.O. Box 10056,Dublin,OH,43017,6656,1-877-782-8059,HPD0104183336,BATTEA FBO,SCHONFELD GROUP HOLDINGS LLC,400 MONTGOMERY STREET,SUITE 1040,,SAN FRANCISCO,CA,94104,10219580,8/9/2008,Sale,HEWLETT-PACKARD COMPANY,8/4/2011,100,33.29,3329
Hewlett-Packard Securities Litigation,"c/o Garden City Group, LLC",Claims Administrator,P.O. Box 10056,Dublin,OH,43017,6656,1-877-782-8059,HPD0104183336,BATTEA FBO,SCHONFELD GROUP HOLDINGS LLC,400 MONTGOMERY STREET,SUITE 1040,,SAN FRANCISCO,CA,94104,10219580,8/9/2008,Sale,HEWLETT-PACKARD COMPANY,8/4/2011,100,33.25,3325
Hewlett-Packard Securities Litigation,"c/o Garden City Group, LLC",Claims Administrator,P.O. Box 10056,Dublin,OH,43017,6656,1-877-782-8059,HPD0104183336,BATTEA FBO,SCHONFELD GROUP HOLDINGS LLC,400 MONTGOMERY STREET,SUITE 1040,,SAN FRANCISCO,CA,94104,10219580,8/9/2008,Sale,HEWLETT-PACKARD COMPANY,8/4/2011,100,33.36,3336
Hewlett-Packard Securities Litigation,"c/o Garden City Group, LLC",Claims Administrator,P.O. Box 10056,Dublin,OH,43017,6656,1-877-782-8059,HPD0104183336,BATTEA FBO,SCHONFELD GROUP HOLDINGS LLC,400 MONTGOMERY STREET,SUITE 1040,,SAN FRANCISCO,CA,94104,10219580,8/9/2008,Sale,HEWLETT-PACKARD COMPANY,8/4/2011,100,33.25,3325
Hewlett-Packard Securities Litigation,"c/o Garden City Group, LLC",Claims Administrator,P.O. Box 10056,Dublin,OH,43017,6656,1-877-782-8059,HPD0104183336,BATTEA FBO,SCHONFELD GROUP HOLDINGS LLC,400 MONTGOMERY STREET,SUITE 1040,,SAN FRANCISCO,CA,94104,10219580,8/9/2008,Sale,HEWLETT-PACKARD COMPANY,8/4/2011,100,33.02,3302
Hewlett-Packard Securities Litigation,"c/o Garden City Group, LLC",Claims Administrator,P.O. Box 10056,Dublin,OH,43017,6656,1-877-782-8059,HPD0104183336,BATTEA FBO,SCHONFELD GROUP HOLDINGS LLC,400 MONTGOMERY STREET,SUITE 1040,,SAN FRANCISCO,CA,94104,10219580,8/9/2008,Sale,HEWLETT-PACKARD COMPANY,8/4/2011,100,33.03,3303
Hewlett-Packard Securities Litigation,"c/o Garden City Group, LLC",Claims Administrator,P.O. Box 10056,Dublin,OH,43017,6656,1-877-782-8059,HPD0104183336,BATTEA FBO,SCHONFELD GROUP HOLDINGS LLC,400 MONTGOMERY STREET,SUITE 1040,,SAN FRANCISCO,CA,94104,10219580,8/9/2008,Sale,HEWLETT-PACKARD COMPANY,8/4/2011,50,33.34,1667
Hewlett-Packard Securities Litigation,"c/o Garden City Group, LLC",Claims Administrator,P.O. Box 10056,Dublin,OH,43017,6656,1-877-782-8059,HPD0104183336,BATTEA FBO,SCHONFELD GROUP HOLDINGS LLC,400 MONTGOMERY STREET,SUITE 1040,,SAN FRANCISCO,CA,94104,10219580,8/9/2008,Sale,HEWLETT-PACKARD COMPANY,8/4/2011,100,33.21,3321
Hewlett-Packard Securities Litigation,"c/o Garden City Group, LLC",Claims Administrator,P.O. Box 10056,Dublin,OH,43017,6656,1-877-782-8059,HPD0104183336,BATTEA FBO,SCHONFELD GROUP HOLDINGS LLC,400 MONTGOMERY STREET,SUITE 1040,,SAN FRANCISCO,CA,94104,10219580,8/9/2008,Sale,HEWLETT-PACKARD COMPANY,8/4/2011,100,33.3,3330
Hewlett-Packard Securities Litigation,"c/o Garden City Group, LLC",Claims Administrator,P.O. Box 10056,Dublin,OH,43017,6656,1-877-782-8059,HPD0104183336,BATTEA FBO,SCHONFELD GROUP HOLDINGS LLC,400 MONTGOMERY STREET,SUITE 1040,,SAN FRANCISCO,CA,94104,10219580,8/9/2008,Sale,HEWLETT-PACKARD COMPANY,8/4/2011,100,33.32,3332
Hewlett-Packard Securities Litigation,"c/o Garden City Group, LLC",Claims Administrator,P.O. Box 10056,Dublin,OH,43017,6656,1-877-782-8059,HPD0104183336,BATTEA FBO,SCHONFELD GROUP HOLDINGS LLC,400 MONTGOMERY STREET,SUITE 1040,,SAN FRANCISCO,CA,94104,10219580,8/9/2008,Sale,HEWLETT-PACKARD COMPANY,8/4/2011,100,33.02,3302
Hewlett-Packard Securities Litigation,"c/o Garden City Group, LLC",Claims Administrator,P.O. Box 10056,Dublin,OH,43017,6656,1-877-782-8059,HPD0104183336,BATTEA FBO,SCHONFELD GROUP HOLDINGS LLC,400 MONTGOMERY STREET,SUITE 1040,,SAN FRANCISCO,CA,94104,10219580,8/9/2008,Sale,HEWLETT-PACKARD COMPANY,8/4/2011,100,33.36,3336
Hewlett-Packard Securities Litigation,"c/o Garden City Group, LLC",Claims Administrator,P.O. Box 10056,Dublin,OH,43017,6656,1-877-782-8059,HPD0104183336,BATTEA FBO,SCHONFELD GROUP HOLDINGS LLC,400 MONTGOMERY STREET,SUITE 1040,,SAN FRANCISCO,CA,94104,10219580,8/9/2008,Sale,HEWLETT-PACKARD COMPANY,8/4/2011,100,33.29,3329
Hewlett-Packard Securities Litigation,"c/o Garden City Group, LLC",Claims Administrator,P.O. Box 10056,Dublin,OH,43017,6656,1-877-782-8059,HPD0104183336,BATTEA FBO,SCHONFELD GROUP HOLDINGS LLC,400 MONTGOMERY STREET,SUITE 1040,,SAN FRANCISCO,CA,94104,10219580,8/9/2008,Sale,HEWLETT-PACKARD COMPANY,8/4/2011,100,33.02,3302
Hewlett-Packard Securities Litigation,"c/o Garden City Group, LLC",Claims Administrator,P.O. Box 10056,Dublin,OH,43017,6656,1-877-782-8059,HPD0104183336,BATTEA FBO,SCHONFELD GROUP HOLDINGS LLC,400 MONTGOMERY STREET,SUITE 1040,,SAN FRANCISCO,CA,94104,10219580,8/9/2008,Sale,HEWLETT-PACKARD COMPANY,8/4/2011,100,33.32,3332
Hewlett-Packard Securities Litigation,"c/o Garden City Group, LLC",Claims Administrator,P.O. Box 10056,Dublin,OH,43017,6656,1-877-782-8059,HPD0104183336,BATTEA FBO,SCHONFELD GROUP HOLDINGS LLC,400 MONTGOMERY STREET,SUITE 1040,,SAN FRANCISCO,CA,94104,10219580,8/9/2008,Sale,HEWLETT-PACKARD COMPANY,8/4/2011,100,33.41,3341
Hewlett-Packard Securities Litigation,"c/o Garden City Group, LLC",Claims Administrator,P.O. Box 10056,Dublin,OH,43017,6656,1-877-782-8059,HPD0104183336,BATTEA FBO,SCHONFELD GROUP HOLDINGS LLC,400 MONTGOMERY STREET,SUITE 1040,,SAN FRANCISCO,CA,94104,10219580,8/9/2008,Sale,HEWLETT-PACKARD COMPANY,8/4/2011,100,33.32,3332
Hewlett-Packard Securities Litigation,"c/o Garden City Group, LLC",Claims Administrator,P.O. Box 10056,Dublin,OH,43017,6656,1-877-782-8059,HPD0104183336,BATTEA FBO,SCHONFELD GROUP HOLDINGS LLC,400 MONTGOMERY STREET,SUITE 1040,,SAN FRANCISCO,CA,94104,10219580,8/9/2008,Sale,HEWLETT-PACKARD COMPANY,8/4/2011,100,33.61,3361
Hewlett-Packard Securities Litigation,"c/o Garden City Group, LLC",Claims Administrator,P.O. Box 10056,Dublin,OH,43017,6656,1-877-782-8059,HPD0104183336,BATTEA FBO,SCHONFELD GROUP HOLDINGS LLC,400 MONTGOMERY STREET,SUITE 1040,,SAN FRANCISCO,CA,94104,10219580,8/9/2008,Sale,HEWLETT-PACKARD COMPANY,8/4/2011,100,33.02,3302
Hewlett-Packard Securities Litigation,"c/o Garden City Group, LLC",Claims Administrator,P.O. Box 10056,Dublin,OH,43017,6656,1-877-782-8059,HPD0104183336,BATTEA FBO,SCHONFELD GROUP HOLDINGS LLC,400 MONTGOMERY STREET,SUITE 1040,,SAN FRANCISCO,CA,94104,10219580,8/9/2008,Sale,HEWLETT-PACKARD COMPANY,8/4/2011,72,33.21,2391.12
Hewlett-Packard Securities Litigation,"c/o Garden City Group, LLC",Claims Administrator,P.O. Box 10056,Dublin,OH,43017,6656,1-877-782-8059,HPD0104183336,BATTEA FBO,SCHONFELD GROUP HOLDINGS LLC,400 MONTGOMERY STREET,SUITE 1040,,SAN FRANCISCO,CA,94104,10219580,8/9/2008,Sale,HEWLETT-PACKARD COMPANY,8/4/2011,100,33.29,3329
Hewlett-Packard Securities Litigation,"c/o Garden City Group, LLC",Claims Administrator,P.O. Box 10056,Dublin,OH,43017,6656,1-877-782-8059,HPD0104183336,BATTEA FBO,SCHONFELD GROUP HOLDINGS LLC,400 MONTGOMERY STREET,SUITE 1040,,SAN FRANCISCO,CA,94104,10219580,8/9/2008,Sale,HEWLETT-PACKARD COMPANY,8/4/2011,18,33.27,598.86
Hewlett-Packard Securities Litigation,"c/o Garden City Group, LLC",Claims Administrator,P.O. Box 10056,Dublin,OH,43017,6656,1-877-782-8059,HPD0104183336,BATTEA FBO,SCHONFELD GROUP HOLDINGS LLC,400 MONTGOMERY STREET,SUITE 1040,,SAN FRANCISCO,CA,94104,10219580,8/9/2008,Sale,HEWLETT-PACKARD COMPANY,8/4/2011,100,33.29,3329
Hewlett-Packard Securities Litigation,"c/o Garden City Group, LLC",Claims Administrator,P.O. Box 10056,Dublin,OH,43017,6656,1-877-782-8059,HPD0104183336,BATTEA FBO,SCHONFELD GROUP HOLDINGS LLC,400 MONTGOMERY STREET,SUITE 1040,,SAN FRANCISCO,CA,94104,10219580,8/9/2008,Sale,HEWLETT-PACKARD COMPANY,8/4/2011,100,33.32,3332
Hewlett-Packard Securities Litigation,"c/o Garden City Group, LLC",Claims Administrator,P.O. Box 10056,Dublin,OH,43017,6656,1-877-782-8059,HPD0104183336,BATTEA FBO,SCHONFELD GROUP HOLDINGS LLC,400 MONTGOMERY STREET,SUITE 1040,,SAN FRANCISCO,CA,94104,10219580,8/9/2008,Sale,HEWLETT-PACKARD COMPANY,8/4/2011,100,33.31,3331
Hewlett-Packard Securities Litigation,"c/o Garden City Group, LLC",Claims Administrator,P.O. Box 10056,Dublin,OH,43017,6656,1-877-782-8059,HPD0104183336,BATTEA FBO,SCHONFELD GROUP HOLDINGS LLC,400 MONTGOMERY STREET,SUITE 1040,,SAN FRANCISCO,CA,94104,10219580,8/9/2008,Sale,HEWLETT-PACKARD COMPANY,8/4/2011,100,33.61,3361
Hewlett-Packard Securities Litigation,"c/o Garden City Group, LLC",Claims Administrator,P.O. Box 10056,Dublin,OH,43017,6656,1-877-782-8059,HPD0104183336,BATTEA FBO,SCHONFELD GROUP HOLDINGS LLC,400 MONTGOMERY STREET,SUITE 1040,,SAN FRANCISCO,CA,94104,10219580,8/9/2008,Sale,HEWLETT-PACKARD COMPANY,8/4/2011,100,33.02,3302
Hewlett-Packard Securities Litigation,"c/o Garden City Group, LLC",Claims Administrator,P.O. Box 10056,Dublin,OH,43017,6656,1-877-782-8059,HPD0104183336,BATTEA FBO,SCHONFELD GROUP HOLDINGS LLC,400 MONTGOMERY STREET,SUITE 1040,,SAN FRANCISCO,CA,94104,10219580,8/9/2008,Sale,HEWLETT-PACKARD COMPANY,8/4/2011,100,33.02,3302
Hewlett-Packard Securities Litigation,"c/o Garden City Group, LLC",Claims Administrator,P.O. Box 10056,Dublin,OH,43017,6656,1-877-782-8059,HPD0104183336,BATTEA FBO,SCHONFELD GROUP HOLDINGS LLC,400 MONTGOMERY STREET,SUITE 1040,,SAN FRANCISCO,CA,94104,10219580,8/9/2008,Sale,HEWLETT-PACKARD COMPANY,8/4/2011,100,33.23,3323
Hewlett-Packard Securities Litigation,"c/o Garden City Group, LLC",Claims Administrator,P.O. Box 10056,Dublin,OH,43017,6656,1-877-782-8059,HPD0104183336,BATTEA FBO,SCHONFELD GROUP HOLDINGS LLC,400 MONTGOMERY STREET,SUITE 1040,,SAN FRANCISCO,CA,94104,10219580,8/9/2008,Sale,HEWLETT-PACKARD COMPANY,8/4/2011,100,33.33,3333
Hewlett-Packard Securities Litigation,"c/o Garden City Group, LLC",Claims Administrator,P.O. Box 10056,Dublin,OH,43017,6656,1-877-782-8059,HPD0104183336,BATTEA FBO,SCHONFELD GROUP HOLDINGS LLC,400 MONTGOMERY STREET,SUITE 1040,,SAN FRANCISCO,CA,94104,10219580,8/9/2008,Sale,HEWLETT-PACKARD COMPANY,8/4/2011,100,33.3,3330
Hewlett-Packard Securities Litigation,"c/o Garden City Group, LLC",Claims Administrator,P.O. Box 10056,Dublin,OH,43017,6656,1-877-782-8059,HPD0104183336,BATTEA FBO,SCHONFELD GROUP HOLDINGS LLC,400 MONTGOMERY STREET,SUITE 1040,,SAN FRANCISCO,CA,94104,10219580,8/9/2008,Sale,HEWLETT-PACKARD COMPANY,8/4/2011,100,33.36,3336
Hewlett-Packard Securities Litigation,"c/o Garden City Group, LLC",Claims Administrator,P.O. Box 10056,Dublin,OH,43017,6656,1-877-782-8059,HPD0104183336,BATTEA FBO,SCHONFELD GROUP HOLDINGS LLC,400 MONTGOMERY STREET,SUITE 1040,,SAN FRANCISCO,CA,94104,10219580,8/9/2008,Sale,HEWLETT-PACKARD COMPANY,8/4/2011,100,33.31,3331
Hewlett-Packard Securities Litigation,"c/o Garden City Group, LLC",Claims Administrator,P.O. Box 10056,Dublin,OH,43017,6656,1-877-782-8059,HPD0104183336,BATTEA FBO,SCHONFELD GROUP HOLDINGS LLC,400 MONTGOMERY STREET,SUITE 1040,,SAN FRANCISCO,CA,94104,10219580,8/9/2008,Sale,HEWLETT-PACKARD COMPANY,8/4/2011,100,33.29,3329
