Proj_name,company_addr1,company_addr2,company_addr3,company_city,company_state,company_zip5,company_zip4,company_phn,project_bar_code,nm_addr_txt_1,nm_addr_txt_2,nm_addr_txt_3,nm_addr_txt_4,nm_addr_txt_5,us_city_nm,us_st_cd,us_zip_cd_5,clm_no,mail_dt,Response_Due_Date,eligible_sec,class_period,Transactions,sec_shrt_nm,sec_tran_dtm,sec_tran_qty,sec_tran_prc_amt,sec_tran_ttl_amt
Hewlett-Packard Securities Litigation,"c/o Garden City Group, LLC",Claims Administrator,P.O. Box 10056,Dublin,OH,43017,6656,1-877-782-8059,HPD0104183336,ABC CORP.,FBO: NATIONWIDE 700 INDEX FUND,ATTN: XYZ CHECK PROCESSING,895455 HIGH LAND MANOR DRIVE,,TAMPA,FL,56897,10181733,07/28/15,42233,Hewlett-Packard Common Stock,"Nov. 22, 2010 through Aug. 18, 2011, inclusive",Sale,HEWLETT-PACKARD COMPANY,05/13/11,240,41.51,9962.4
Hewlett-Packard Securities Litigation,"c/o Garden City Group, LLC",Claims Administrator,P.O. Box 10056,Dublin,OH,43017,6656,1-877-782-8059,HPD0104183336,ABC CORP.,FBO: NATIONWIDE 700 INDEX FUND,ATTN: XYZ CHECK PROCESSING,895455 HIGH LAND MANOR DRIVE,,TAMPA,FL,56897,10181733,07/28/15,42233,Hewlett-Packard Common Stock,"Nov. 22, 2010 through Aug. 18, 2011, inclusive",Sale,HEWLETT-PACKARD COMPANY,05/23/11,290,36.25,10512.5
Hewlett-Packard Securities Litigation,"c/o Garden City Group, LLC",Claims Administrator,P.O. Box 10056,Dublin,OH,43017,6656,1-877-782-8059,HPD0104183336,ABC CORP.,FBO: NATIONWIDE 700 INDEX FUND,ATTN: XYZ CHECK PROCESSING,895455 HIGH LAND MANOR DRIVE,,TAMPA,FL,56897,10181733,07/28/15,42233,Hewlett-Packard Common Stock,"Nov. 22, 2010 through Aug. 18, 2011, inclusive",Sale,HEWLETT-PACKARD COMPANY,06/10/11,370,35.94,13297.8
Hewlett-Packard Securities Litigation,"c/o Garden City Group, LLC",Claims Administrator,P.O. Box 10056,Dublin,OH,43017,6656,1-877-782-8059,HPD0104183336,ABC CORP.,FBO: NATIONWIDE 700 INDEX FUND,ATTN: XYZ CHECK PROCESSING,895455 HIGH LAND MANOR DRIVE,,TAMPA,FL,56897,10181733,07/28/15,42233,Hewlett-Packard Common Stock,"Nov. 22, 2010 through Aug. 18, 2011, inclusive",Sale,HEWLETT-PACKARD COMPANY,06/24/11,360,35.4764,12771.504
Hewlett-Packard Securities Litigation,"c/o Garden City Group, LLC",Claims Administrator,P.O. Box 10056,Dublin,OH,43017,6656,1-877-782-8059,HPD0104183336,ABC CORP.,FBO: NATIONWIDE 700 INDEX FUND,ATTN: XYZ CHECK PROCESSING,895455 HIGH LAND MANOR DRIVE,,TAMPA,FL,56897,10181733,07/28/15,42233,Hewlett-Packard Common Stock,"Nov. 22, 2010 through Aug. 18, 2011, inclusive",Purchase,HEWLETT-PACKARD COMPANY,07/06/11,260,36.65,9529
Hewlett-Packard Securities Litigation,"c/o Garden City Group, LLC",Claims Administrator,P.O. Box 10056,Dublin,OH,43017,6656,1-877-782-8059,HPD0104183336,ABC CORP.,FBO: NATIONWIDE 700 INDEX FUND,ATTN: XYZ CHECK PROCESSING,895455 HIGH LAND MANOR DRIVE,,TAMPA,FL,56897,10181733,07/28/15,42233,Hewlett-Packard Common Stock,"Nov. 22, 2010 through Aug. 18, 2011, inclusive",Purchase,HEWLETT-PACKARD COMPANY,07/07/11,390,37.05,14449.5
Hewlett-Packard Securities Litigation,"c/o Garden City Group, LLC",Claims Administrator,P.O. Box 10056,Dublin,OH,43017,6656,1-877-782-8059,HPD0104183336,ABC CORP.,FBO: NATIONWIDE 700 INDEX FUND,ATTN: XYZ CHECK PROCESSING,895455 HIGH LAND MANOR DRIVE,,TAMPA,FL,56897,10181733,07/28/15,42233,Hewlett-Packard Common Stock,"Nov. 22, 2010 through Aug. 18, 2011, inclusive",Sale,HEWLETT-PACKARD COMPANY,07/22/11,300,35.53,10659
Hewlett-Packard Securities Litigation,"c/o Garden City Group, LLC",Claims Administrator,P.O. Box 10056,Dublin,OH,43017,6656,1-877-782-8059,HPD0104183336,ABC CORP.,FBO: NATIONWIDE 700 INDEX FUND,ATTN: XYZ CHECK PROCESSING,895455 HIGH LAND MANOR DRIVE,,TAMPA,FL,56897,10181733,07/28/15,42233,Hewlett-Packard Common Stock,"Nov. 22, 2010 through Aug. 18, 2011, inclusive",Sale,HEWLETT-PACKARD COMPANY,07/27/11,150,36.7001,5505.015
Hewlett-Packard Securities Litigation,"c/o Garden City Group, LLC",Claims Administrator,P.O. Box 10056,Dublin,OH,43017,6656,1-877-782-8059,HPD0104183336,ABC CORP.,FBO: NATIONWIDE 700 INDEX FUND,ATTN: XYZ CHECK PROCESSING,895455 HIGH LAND MANOR DRIVE,,TAMPA,FL,56897,10181733,07/28/15,42233,Hewlett-Packard Common Stock,"Nov. 22, 2010 through Aug. 18, 2011, inclusive",Sale,HEWLETT-PACKARD COMPANY,08/02/11,460,36.5849,16829.054
Hewlett-Packard Securities Litigation,"c/o Garden City Group, LLC",Claims Administrator,P.O. Box 10056,Dublin,OH,43017,6656,1-877-782-8059,HPD0104183336,ABC CORP.,FBO: NATIONWIDE 700 INDEX FUND,ATTN: XYZ CHECK PROCESSING,895455 HIGH LAND MANOR DRIVE,,TAMPA,FL,56897,10181733,07/28/15,42233,Hewlett-Packard Common Stock,"Nov. 22, 2010 through Aug. 18, 2011, inclusive",Sale,HEWLETT-PACKARD COMPANY,08/10/11,630,32.534,20496.42
Hewlett-Packard Securities Litigation,"c/o Garden City Group, LLC",Claims Administrator,P.O. Box 10056,Dublin,OH,43017,6656,1-877-782-8059,HPD0104183336,ABC CORP.,FBO: NATIONWIDE 700 INDEX FUND,ATTN: XYZ CHECK PROCESSING,895455 HIGH LAND MANOR DRIVE,,TAMPA,FL,56897,10181733,07/28/15,42233,Hewlett-Packard Common Stock,"Nov. 22, 2010 through Aug. 18, 2011, inclusive",Sale,HEWLETT-PACKARD COMPANY,08/12/11,130,30.57,3974.1
Hewlett-Packard Securities Litigation,"c/o Garden City Group, LLC",Claims Administrator,P.O. Box 10056,Dublin,OH,43017,6656,1-877-782-8059,HPD0104183336,ABC CORP.,FBO: NATIONWIDE 700 INDEX FUND,ATTN: XYZ CHECK PROCESSING,895455 HIGH LAND MANOR DRIVE,,TAMPA,FL,56897,10181733,07/28/15,42233,Hewlett-Packard Common Stock,"Nov. 22, 2010 through Aug. 18, 2011, inclusive",Sale,HEWLETT-PACKARD COMPANY,09/06/11,90,26.15,2353.5
Hewlett-Packard Securities Litigation,"c/o Garden City Group, LLC",Claims Administrator,P.O. Box 10056,Dublin,OH,43017,6656,1-877-782-8059,HPD0104183336,ABC CORP.,FBO: NATIONWIDE 700 INDEX FUND,ATTN: XYZ CHECK PROCESSING,895455 HIGH LAND MANOR DRIVE,,TAMPA,FL,56897,10181733,07/28/15,42233,Hewlett-Packard Common Stock,"Nov. 22, 2010 through Aug. 18, 2011, inclusive",Sale,HEWLETT-PACKARD COMPANY,10/07/11,450,22.55,10147.5
Hewlett-Packard Securities Litigation,"c/o Garden City Group, LLC",Claims Administrator,P.O. Box 10056,Dublin,OH,43017,6656,1-877-782-8059,HPD0104183336,ABC CORP.,FBO: NATIONWIDE 700 INDEX FUND,ATTN: XYZ CHECK PROCESSING,895455 HIGH LAND MANOR DRIVE,,TAMPA,FL,56897,10181733,07/28/15,42233,Hewlett-Packard Common Stock,"Nov. 22, 2010 through Aug. 18, 2011, inclusive",Sale,HEWLETT-PACKARD COMPANY,10/11/11,240,23.82,5716.8
Hewlett-Packard Securities Litigation,"c/o Garden City Group, LLC",Claims Administrator,P.O. Box 10056,Dublin,OH,43017,6656,1-877-782-8059,HPD0104183336,ABC CORP.,FBO: NATIONWIDE 700 INDEX FUND,ATTN: XYZ CHECK PROCESSING,895455 HIGH LAND MANOR DRIVE,,TAMPA,FL,56897,10181733,07/28/15,42233,Hewlett-Packard Common Stock,"Nov. 22, 2010 through Aug. 18, 2011, inclusive",Sale,HEWLETT-PACKARD COMPANY,10/14/11,135,25.6174,3458.349
